"Gene","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_021342655.1","GCA_021534865.1","GCA_021697815.1","GCA_021890555.1"
"maoP","macrodomain Ori organization protein MaoP","4","4","1.0","339","339","339.0","GCA_021342655.1-NZ_JAJTPH010000015.1-858-cds-WP_000841001.1","GCA_021534865.1-NZ_CP091038.1-3469-cds-WP_000841001.1","GCA_021697815.1-NZ_JAJPUS010000016.1-896-cds-WP_000841001.1","GCA_021890555.1-NZ_JAKLOD010000001.1-4698-cds-WP_000841001.1"
"groups_2570","conjugal transfer protein TraD","1","1","1.0","234","234","234","GCA_021342655.1-NZ_JAJTPH010000166.1-871-cds-LXO36_RS27515","","",""
"guaB","IMP dehydrogenase","3","3","1.0","1467","1467","1467.0","GCA_021342655.1-NZ_JAJTPH010000016.1-880-cds-WP_001296289.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2680-cds-WP_001299507.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1350-cds-WP_001299507.1"
"guaA","glutamine-hydrolyzing GMP synthase","3","3","1.0","1578","1578","1578.0","GCA_021342655.1-NZ_JAJTPH010000016.1-881-cds-WP_000138282.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2681-cds-WP_000138270.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1351-cds-WP_000138282.1"
"yfgI","DUF5384 family protein","3","3","1.0","540","540","540.0","GCA_021342655.1-NZ_JAJTPH010000016.1-882-cds-WP_000755178.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2736-cds-WP_022645975.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1352-cds-WP_000755173.1"
"pdeF","cyclic-guanylate-specific phosphodiesterase PdeF","3","3","1.0","2244","2244","2244.0","GCA_021342655.1-NZ_JAJTPH010000016.1-886-cds-WP_000772711.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2740-cds-WP_022645974.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1356-cds-WP_000772775.1"
"ppx","exopolyphosphatase","3","3","1.0","1542","1542","1542.0","GCA_021342655.1-NZ_JAJTPH010000016.1-887-cds-WP_001121363.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2741-cds-WP_001121363.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1357-cds-WP_001121363.1"
"ppk1","polyphosphate kinase 1","3","3","1.0","2067","2067","2067.0","GCA_021342655.1-NZ_JAJTPH010000016.1-888-cds-WP_001296288.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2742-cds-WP_000529576.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1358-cds-WP_000529576.1"
"purN","phosphoribosylglycinamide formyltransferase","3","3","1.0","639","639","639.0","GCA_021342655.1-NZ_JAJTPH010000016.1-889-cds-WP_001028626.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2743-cds-WP_022645973.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1359-cds-WP_001028614.1"
"purM","phosphoribosylformylglycinamidine cyclo-ligase","3","3","1.0","1038","1038","1038.0","GCA_021342655.1-NZ_JAJTPH010000016.1-890-cds-LXO36_RS17230","","GCA_021697815.1-NZ_JAJPUS010000002.1-2744-cds-WP_001295474.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1360-cds-WP_001295474.1"
"upp","uracil phosphoribosyltransferase","3","3","1.0","627","627","627.0","GCA_021342655.1-NZ_JAJTPH010000016.1-891-cds-WP_001295473.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2745-cds-WP_001295473.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1361-cds-WP_001295473.1"
"uraA","uracil permease","3","3","1.0","1290","1290","1290.0","GCA_021342655.1-NZ_JAJTPH010000016.1-892-cds-WP_000198327.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2746-cds-WP_000198327.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1362-cds-WP_000198328.1"
"hda","DnaA inactivator Hda","3","3","1.0","702","702","702.0","GCA_021342655.1-NZ_JAJTPH010000016.1-893-cds-WP_001307333.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2747-cds-WP_001307333.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1363-cds-WP_001307333.1"
"bepA","beta-barrel assembly-enhancing protease","3","3","1.0","1464","1464","1464.0","GCA_021342655.1-NZ_JAJTPH010000016.1-895-cds-WP_000489665.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2749-cds-WP_000489667.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1365-cds-WP_000489667.1"
"yfgO","AI-2E family transporter","3","3","1.0","1062","1062","1062.0","GCA_021342655.1-NZ_JAJTPH010000016.1-896-cds-WP_000892043.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2750-cds-WP_000892042.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1366-cds-WP_000892044.1"
"bcp","thioredoxin-dependent thiol peroxidase","3","3","1.0","471","471","471.0","GCA_021342655.1-NZ_JAJTPH010000016.1-897-cds-WP_001068682.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2763-cds-WP_001068682.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1379-cds-WP_001068682.1"
"gcvR","glycine cleavage system transcriptional repressor","3","3","1.0","573","573","573.0","GCA_021342655.1-NZ_JAJTPH010000016.1-898-cds-WP_000176187.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2764-cds-WP_000176187.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1380-cds-WP_000176187.1"
"dapA","4-hydroxy-tetrahydrodipicolinate synthase","3","3","1.0","879","879","879.0","GCA_021342655.1-NZ_JAJTPH010000016.1-899-cds-WP_001295469.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2765-cds-WP_001295469.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1381-cds-WP_001311023.1"
"bamC","outer membrane protein assembly factor BamC","3","3","1.0","1035","1035","1035.0","GCA_021342655.1-NZ_JAJTPH010000016.1-900-cds-WP_001296286.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2766-cds-WP_001296286.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1382-cds-WP_023142816.1"
"purC","phosphoribosylaminoimidazolesuccinocarboxamide synthase","3","3","1.0","714","714","714.0","GCA_021342655.1-NZ_JAJTPH010000016.1-901-cds-WP_001295467.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2767-cds-WP_001295467.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1383-cds-WP_001295467.1"
"ypfJ","neutral zinc metallopeptidase","3","3","1.0","864","864","864.0","GCA_021342655.1-NZ_JAJTPH010000016.1-902-cds-WP_001267498.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2768-cds-WP_001267498.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1386-cds-WP_001267498.1"
"ypfH","esterase","3","3","1.0","699","699","699.0","GCA_021342655.1-NZ_JAJTPH010000016.1-904-cds-WP_000679830.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2770-cds-WP_000679812.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1388-cds-WP_000679823.1"
"ypfN","YpfN family protein","3","3","1.0","201","201","201.0","GCA_021342655.1-NZ_JAJTPH010000016.1-905-cds-WP_000383836.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2771-cds-WP_000383836.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1389-cds-WP_000383836.1"
"dapE","succinyl-diaminopimelate desuccinylase","3","3","1.0","1128","1128","1128.0","GCA_021342655.1-NZ_JAJTPH010000016.1-906-cds-WP_001277795.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2772-cds-WP_001277791.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1390-cds-WP_001277801.1"
"yffB","ArsC family reductase","3","3","1.0","357","357","357.0","GCA_021342655.1-NZ_JAJTPH010000016.1-907-cds-WP_000258253.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2773-cds-WP_000258253.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1391-cds-WP_000258247.1"
"acrD","multidrug efflux RND transporter permease AcrD","3","3","1.0","3114","3114","3114.0","GCA_021342655.1-NZ_JAJTPH010000016.1-909-cds-WP_001273136.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2775-cds-WP_001273136.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1393-cds-WP_001273115.1"
"narQ","nitrate/nitrite two-component system sensor histidine kinase NarQ","3","3","1.0","1701","1701","1701.0","GCA_021342655.1-NZ_JAJTPH010000016.1-910-cds-LXO36_RS17330","","GCA_021697815.1-NZ_JAJPUS010000002.1-2776-cds-WP_001296285.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1394-cds-WP_000636129.1"
"aegA","formate-dependent uric acid utilization protein AegA","3","3","1.0","1980","1980","1980.0","GCA_021342655.1-NZ_JAJTPH010000016.1-911-cds-WP_001078844.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2777-cds-WP_022645962.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1395-cds-WP_001078870.1"
"nudK","GDP-mannose pyrophosphatase NudK","3","3","1.0","576","576","576.0","GCA_021342655.1-NZ_JAJTPH010000016.1-912-cds-WP_001296284.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2778-cds-WP_001330582.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1396-cds-WP_000193711.1"
"ypfG","DUF1176 domain-containing protein","3","3","1.0","1044","1044","1044.0","GCA_021342655.1-NZ_JAJTPH010000016.1-913-cds-WP_001270494.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2779-cds-WP_001270513.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1397-cds-WP_001270524.1"
"tal","transaldolase","3","3","1.0","951","951","951.0","GCA_021342655.1-NZ_JAJTPH010000016.1-915-cds-WP_001003709.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2781-cds-WP_022645961.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1399-cds-WP_001003709.1"
"maeB","NADP-dependent oxaloacetate-decarboxylating malate dehydrogenase","3","3","1.0","2280","2280","2280.0","GCA_021342655.1-NZ_JAJTPH010000016.1-916-cds-WP_000342643.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2782-cds-WP_000342643.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1400-cds-WP_000342642.1"
"eutS","ethanolamine utilization microcompartment protein EutS","3","3","1.0","336","336","336.0","GCA_021342655.1-NZ_JAJTPH010000016.1-917-cds-WP_000356956.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2785-cds-WP_000356956.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1401-cds-WP_000356956.1"
"eutP","ethanolamine utilization acetate kinase EutP","3","3","1.0","480","480","480.0","GCA_021342655.1-NZ_JAJTPH010000016.1-918-cds-WP_000820789.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2786-cds-WP_000820782.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1402-cds-WP_000820764.1"
"eutT","ethanolamine utilization cob(I)yrinic acid a%2Cc-diamide adenosyltransferase EutT","3","3","1.0","804","804","804.0","GCA_021342655.1-NZ_JAJTPH010000016.1-920-cds-WP_000651309.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2788-cds-WP_022645958.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1404-cds-WP_000651298.1"
"pta","phosphate acetyltransferase","3","3","1.0","1017","1017","1017.0","GCA_021342655.1-NZ_JAJTPH010000016.1-921-cds-WP_000584522.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2789-cds-WP_022645957.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1405-cds-WP_000582978.1"
"eutM","ethanolamine utilization microcompartment protein EutM","3","3","1.0","294","294","294.0","GCA_021342655.1-NZ_JAJTPH010000016.1-922-cds-WP_000387713.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2790-cds-WP_000387713.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1406-cds-WP_000387713.1"
"eutN","ethanolamine utilization microcompartment protein EutN","3","3","1.0","288","288","288.0","GCA_021342655.1-NZ_JAJTPH010000016.1-923-cds-WP_000762196.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2791-cds-WP_000762196.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1407-cds-WP_000762196.1"
"eutE","aldehyde dehydrogenase EutE","3","3","1.0","1404","1404","1404.0","GCA_021342655.1-NZ_JAJTPH010000016.1-924-cds-WP_001075703.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2792-cds-WP_022645956.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1408-cds-WP_001075690.1"
"eutJ","ethanolamine utilization protein EutJ","3","3","1.0","837","837","837.0","GCA_021342655.1-NZ_JAJTPH010000016.1-925-cds-WP_000929721.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2793-cds-WP_000929699.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1409-cds-WP_000929726.1"
"eutH","ethanolamine utilization protein EutH","3","3","1.0","1227","1227","1227.0","GCA_021342655.1-NZ_JAJTPH010000016.1-927-cds-WP_000512385.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2795-cds-WP_000512385.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1411-cds-WP_000512377.1"
"eutB","ethanolamine ammonia-lyase subunit alpha","3","3","1.0","1362","1362","1362.0","GCA_021342655.1-NZ_JAJTPH010000016.1-929-cds-WP_000769951.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2797-cds-WP_000769980.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1413-cds-WP_000769961.1"
"eutC","ethanolamine ammonia-lyase subunit beta","3","3","1.0","888","888","888.0","GCA_021342655.1-NZ_JAJTPH010000016.1-930-cds-WP_000372320.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2798-cds-WP_000372321.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1414-cds-WP_000372364.1"
"eutL","ethanolamine utilization microcompartment protein EutL","3","3","1.0","660","660","660.0","GCA_021342655.1-NZ_JAJTPH010000016.1-931-cds-WP_001111047.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2799-cds-WP_001111047.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1415-cds-WP_024258092.1"
"eutK","ethanolamine utilization microcompartment protein EutK","3","3","1.0","501","501","501.0","GCA_021342655.1-NZ_JAJTPH010000016.1-932-cds-WP_001295463.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2800-cds-WP_001295463.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1416-cds-WP_000606257.1"
"eutR","HTH-type transcriptional regulator EutR","3","3","1.0","1053","1053","1053.0","GCA_021342655.1-NZ_JAJTPH010000016.1-933-cds-WP_000753680.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2801-cds-WP_000753708.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1417-cds-WP_000753700.1"
"amiA","N-acetylmuramoyl-L-alanine amidase AmiA","3","3","1.0","870","870","870.0","GCA_021342655.1-NZ_JAJTPH010000016.1-935-cds-WP_000102910.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2803-cds-WP_000102892.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1419-cds-WP_000102891.1"
"ypeA","GNAT family acetyltransferase","3","3","1.0","426","426","426.0","GCA_021342655.1-NZ_JAJTPH010000016.1-936-cds-WP_000406012.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2804-cds-WP_000406000.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1420-cds-WP_000406000.1"
"yfeZ","DUF2919 domain-containing protein","3","3","1.0","450","450","450.0","GCA_021342655.1-NZ_JAJTPH010000016.1-937-cds-WP_001296281.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2805-cds-WP_001296281.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1421-cds-WP_001325675.1"
"yfeY","RpoE-regulated lipoprotein","3","3","1.0","576","576","576.0","GCA_021342655.1-NZ_JAJTPH010000016.1-938-cds-WP_000838953.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2806-cds-WP_000838948.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1422-cds-WP_000838945.1"
"yfeX","porphyrinogen peroxidase","3","3","1.0","900","900","900.0","GCA_021342655.1-NZ_JAJTPH010000016.1-939-cds-WP_000084590.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2807-cds-WP_000084590.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1423-cds-WP_000084590.1"
"murP","PTS N-acetylmuramic acid transporter subunit IIBC","3","3","1.0","1425","1425","1425.0","GCA_021342655.1-NZ_JAJTPH010000016.1-941-cds-WP_001040496.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2809-cds-WP_001040487.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1425-cds-WP_001040482.1"
"ucpA","SDR family oxidoreductase UcpA","3","3","1.0","792","792","792.0","GCA_021342655.1-NZ_JAJTPH010000016.1-943-cds-WP_000517443.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2812-cds-WP_000517443.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1428-cds-WP_000517431.1"
"cysT","sulfate/thiosulfate ABC transporter permease CysT","3","3","1.0","834","834","834.0","GCA_021342655.1-NZ_JAJTPH010000016.1-945-cds-WP_000458408.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2814-cds-WP_022645951.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1430-cds-WP_000458405.1"
"cysW","sulfate/thiosulfate ABC transporter permease CysW","3","3","1.0","876","876","876.0","GCA_021342655.1-NZ_JAJTPH010000016.1-946-cds-WP_000852686.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2815-cds-WP_022645950.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1431-cds-WP_000852686.1"
"cysA","sulfate/thiosulfate ABC transporter ATP-binding protein CysA","3","3","1.0","1098","1098","1098.0","GCA_021342655.1-NZ_JAJTPH010000016.1-947-cds-WP_000021034.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2816-cds-WP_022645949.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1432-cds-WP_000021040.1"
"cysM","cysteine synthase B","3","3","1.0","912","912","912.0","GCA_021342655.1-NZ_JAJTPH010000016.1-948-cds-LXO36_RS17520","","GCA_021697815.1-NZ_JAJPUS010000002.1-2817-cds-WP_022645948.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1433-cds-WP_001297645.1"
"pdxK","pyridoxine/pyridoxal/pyridoxamine kinase","3","3","1.0","852","852","852.0","GCA_021342655.1-NZ_JAJTPH010000016.1-950-cds-WP_000096640.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2819-cds-WP_022645947.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1435-cds-WP_023142818.1"
"crr","PTS glucose transporter subunit IIA","3","3","1.0","510","510","510.0","GCA_021342655.1-NZ_JAJTPH010000016.1-951-cds-WP_000522247.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2820-cds-WP_000522247.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1436-cds-WP_000522247.1"
"ptsI","phosphoenolpyruvate-protein phosphotransferase PtsI","3","3","1.0","1728","1728","1728.0","GCA_021342655.1-NZ_JAJTPH010000016.1-952-cds-WP_000623108.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2821-cds-WP_000623136.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1437-cds-WP_000623136.1"
"ptsH","phosphocarrier protein Hpr","3","3","1.0","258","258","258.0","GCA_021342655.1-NZ_JAJTPH010000016.1-953-cds-WP_000487600.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2822-cds-WP_000487600.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1438-cds-WP_000487600.1"
"cysK","cysteine synthase A","3","3","1.0","972","972","972.0","GCA_021342655.1-NZ_JAJTPH010000016.1-954-cds-WP_000034402.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2823-cds-WP_000034402.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1439-cds-WP_000034402.1"
"cysZ","sulfate transporter CysZ","3","3","1.0","762","762","762.0","GCA_021342655.1-NZ_JAJTPH010000016.1-955-cds-WP_000254839.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2824-cds-WP_000254839.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1440-cds-WP_000254843.1"
"zipA","cell division protein ZipA","3","3","1.0","987","999","995.0","GCA_021342655.1-NZ_JAJTPH010000016.1-956-cds-WP_001296279.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2825-cds-WP_001317975.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1441-cds-WP_001297862.1"
"ligA","NAD-dependent DNA ligase LigA","3","3","1.0","2016","2016","2016.0","GCA_021342655.1-NZ_JAJTPH010000016.1-957-cds-WP_000443709.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2826-cds-WP_000443685.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1442-cds-WP_000443665.1"
"ypeB","DUF3820 family protein","3","3","1.0","219","219","219.0","GCA_021342655.1-NZ_JAJTPH010000016.1-958-cds-WP_000410197.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2827-cds-WP_000410201.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1443-cds-WP_000410201.1"
"yfeH","bile acid:sodium symporter","3","3","1.0","999","999","999.0","GCA_021342655.1-NZ_JAJTPH010000016.1-959-cds-WP_000765604.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2828-cds-WP_022645946.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1444-cds-WP_000765587.1"
"yfeR","LysR family transcriptional regulator","3","3","1.0","927","927","927.0","GCA_021342655.1-NZ_JAJTPH010000016.1-960-cds-WP_001109794.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2829-cds-WP_001109783.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1445-cds-WP_001109794.1"
"xapB","xanthosine/proton symporter XapB","3","3","1.0","1257","1257","1257.0","GCA_021342655.1-NZ_JAJTPH010000016.1-963-cds-WP_000020390.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2832-cds-WP_000020390.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1448-cds-WP_000020398.1"
"groups_2638","DUF1427 family protein","3","3","1.0","159","159","159.0","GCA_021342655.1-NZ_JAJTPH010000016.1-964-cds-LXO36_RS17600","","GCA_021697815.1-NZ_JAJPUS010000002.1-2833-cds-WP_000651752.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1449-cds-WP_000651752.1"
"xapR","DNA-binding transcriptional regulator XapR","3","3","1.0","885","885","885.0","GCA_021342655.1-NZ_JAJTPH010000016.1-965-cds-WP_000442954.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2834-cds-WP_000442954.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1450-cds-WP_001341600.1"
"evgA","acid-sensing system DNA-binding response regulator EvgA","3","3","1.0","615","615","615.0","GCA_021342655.1-NZ_JAJTPH010000017.1-980-cds-WP_000991370.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2869-cds-WP_000991370.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1485-cds-WP_000991370.1"
"emrY","multidrug efflux MFS transporter permease subunit EmrY","3","3","1.0","1539","1539","1539.0","GCA_021342655.1-NZ_JAJTPH010000017.1-982-cds-WP_001018723.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2871-cds-WP_001018714.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1487-cds-WP_001018713.1"
"dsdX","D-serine transporter DsdX","2","2","1.0","1338","1338","1338.0","GCA_021342655.1-NZ_JAJTPH010000017.1-984-cds-WP_000556035.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2873-cds-WP_000556035.1",""
"groups_2643","AlpA family transcriptional regulator","1","1","1.0","228","228","228","GCA_021342655.1-NZ_JAJTPH010000017.1-986-cds-WP_000055089.1","","",""
"groups_2644","hypothetical protein","1","1","1.0","861","861","861","GCA_021342655.1-NZ_JAJTPH010000017.1-987-cds-WP_000228221.1","","",""
"groups_2645","P2 family phage major capsid protein","1","1","1.0","1005","1005","1005","GCA_021342655.1-NZ_JAJTPH010000017.1-988-cds-WP_000270796.1","","",""
"groups_2646","host cell division inhibitor Icd-like protein","1","1","1.0","591","591","591","GCA_021342655.1-NZ_JAJTPH010000017.1-989-cds-WP_001111085.1","","",""
"groups_2647","hypothetical protein","1","1","1.0","237","237","237","GCA_021342655.1-NZ_JAJTPH010000017.1-990-cds-WP_000839713.1","","",""
"groups_2648","hypothetical protein","1","1","1.0","411","411","411","GCA_021342655.1-NZ_JAJTPH010000017.1-991-cds-WP_001063904.1","","",""
"groups_2649","DUF927 domain-containing protein","1","1","1.0","2628","2628","2628","GCA_021342655.1-NZ_JAJTPH010000017.1-992-cds-WP_152770471.1","","",""
"groups_2650","ogr/Delta-like zinc finger family protein","1","1","1.0","258","258","258","GCA_021342655.1-NZ_JAJTPH010000017.1-993-cds-WP_223151136.1","","",""
"groups_2651","sce7726 family protein","1","1","1.0","882","882","882","GCA_021342655.1-NZ_JAJTPH010000017.1-994-cds-WP_000019149.1","","",""
"groups_2652","sce7725 family protein","1","1","1.0","951","951","951","GCA_021342655.1-NZ_JAJTPH010000017.1-995-cds-WP_000287253.1","","",""
"groups_2653","tyrosine-type recombinase/integrase","1","1","1.0","1176","1176","1176","GCA_021342655.1-NZ_JAJTPH010000017.1-996-cds-WP_000926944.1","","",""
"yfdC","formate/nitrite transporter family protein","3","3","1.0","933","933","933.0","GCA_021342655.1-NZ_JAJTPH010000017.1-998-cds-WP_000368123.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2876-cds-WP_000368131.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1495-cds-WP_000368131.1"
"mlaA","phospholipid-binding lipoprotein MlaA","3","3","1.0","756","756","756.0","GCA_021342655.1-NZ_JAJTPH010000017.1-999-cds-WP_000776774.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2877-cds-WP_000776768.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1496-cds-WP_000776768.1"
"yfcZ","YfcZ/YiiS family protein","3","3","1.0","285","285","285.0","GCA_021342655.1-NZ_JAJTPH010000017.1-1001-cds-WP_001296261.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2880-cds-WP_001296261.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1499-cds-WP_001296869.1"
"fadI","acetyl-CoA C-acyltransferase FadI","3","3","1.0","1311","1311","1311.0","GCA_021342655.1-NZ_JAJTPH010000017.1-1002-cds-WP_000531977.1","","GCA_021697815.1-NZ_JAJPUS010000002.1-2881-cds-WP_022645935.1","GCA_021890555.1-NZ_JAKLOD010000001.1-1500-cds-WP_000531954.1"
"groups_2658","fimbrial protein","1","1","1.0","492","492","492","GCA_021342655.1-NZ_JAJTPH010000017.1-1008-cds-WP_000679363.1","","",""
"groups_2659","fimbrial protein","1","1","1.0","480","480","480","GCA_021342655.1-NZ_JAJTPH010000017.1-1009-cds-WP_000819140.1","","",""
"groups_2660","fimbrial protein","1","1","1.0","528","528","528","GCA_021342655.1-NZ_JAJTPH010000017.1-1010-cds-WP_000054000.1","","",""
"groups_2661","StfH/YfcO family fimbrial adhesin","1","1","1.0","825","825","825","GCA_021342655.1-NZ_JAJTPH010000017.1-1011-cds-WP_001527383.1","","",""
